loan_amnt,installment,dti,grade
1000,30.12,17.82,A
1000,30.12,17.88,A
1000,30.12,18.26,A
1000,30.12,19.01,A
1000,30.12,19.03,A
1000,30.12,19.36,A
1000,30.12,21.09,A
1000,30.12,21.14,A
1000,30.12,21.19,A
1000,30.12,21.78,A
1000,30.12,22.46,A
1000,30.12,22.49,A
1000,30.12,24.23,A
1000,30.12,24.67,A
1000,30.12,24.84,A
1000,30.12,25.13,A
1000,30.12,25.42,A
1000,30.12,26.82,A
1000,30.12,27.48,A
1000,30.12,29.02,A
1000,30.12,31.18,A
1000,30.16,3.47,A
1000,30.16,3.81,A
1000,30.16,11.54,A
1000,30.16,13.51,A
1000,30.16,15.55,A
1000,30.16,26,A
1000,30.16,28.85,A
1000,30.33,2.12,A
1000,30.33,5.84,A
1000,30.42,10.45,A
1000,30.42,14.76,D
1000,30.44,2.49,A
1000,30.44,4.56,A
1000,30.44,11.43,A
1000,30.44,11.6,A
1000,30.44,12.89,A
1000,30.44,15.7,A
1000,30.44,17.76,A
1000,30.44,19.12,A
1000,30.44,25.17,A
1000,30.44,25.67,A
1000,30.46,1.03,A
1000,30.46,1.7,A
1000,30.46,3.18,A
1000,30.46,3.25,A
1000,30.46,6.26,A
1000,30.46,7.03,A
1000,30.46,8.08,A
1000,30.46,8.3,A
1000,30.46,9.9,A
1000,30.46,10.13,A
1000,30.46,10.4,A
1000,30.46,10.59,A
1000,30.46,11.07,A
1000,30.46,12.34,A
1000,30.46,13.72,A
1000,30.46,14.4,A
1000,30.46,16.07,A
1000,30.46,16.52,A
1000,30.46,17.95,A
1000,30.46,18.41,A
1000,30.46,20.02,A
1000,30.46,28.26,A
1000,30.46,31.39,A
1000,30.48,1.54,A
1000,30.48,2.27,A
1000,30.48,4.3,A
1000,30.48,4.83,A
1000,30.48,5.31,A
1000,30.48,8.9,A
1000,30.48,9.85,A
1000,30.48,13.15,A
1000,30.48,15.31,A
1000,30.48,16.84,A
1000,30.5,8.32,A
1000,30.51,7.93,A
1000,30.51,18.09,A
1000,30.51,19.28,A
1000,30.51,20.8,A
1000,30.54,9.35,A
1000,30.54,9.97,A
1000,30.54,12.67,A
1000,30.54,12.93,A
1000,30.54,15.42,A
1000,30.54,16.78,A
1000,30.54,19.25,A
1000,30.54,24.2,A
1000,30.54,25.77,A
1000,30.6,1.76,A
1000,30.6,11.53,A
1000,30.6,12.51,A
1000,30.64,4.48,A
1000,30.64,6.2,A
1000,30.64,6.87,A
1000,30.64,7.37,A
1000,30.64,7.43,A
1000,30.64,8.59,A
1000,30.64,9.36,A
1000,30.64,15.43,A
1000,30.64,15.48,A
1000,30.64,28.06,A
1000,30.65,0.28,A
1000,30.65,4.67,A
1000,30.65,7.37,A
1000,30.65,7.63,A
1000,30.65,7.67,A
1000,30.65,7.73,A
1000,30.65,8.33,A
1000,30.65,9.12,A
1000,30.65,10.33,A
1000,30.65,10.64,A
1000,30.65,11.6,A
1000,30.65,12.64,A
1000,30.65,12.67,A
1000,30.65,13.76,A
1000,30.65,13.82,A
1000,30.65,14.08,A
1000,30.65,15.26,A
1000,30.65,15.53,A
1000,30.65,15.72,A
1000,30.65,16.15,A
1000,30.65,16.71,A
1000,30.65,17.59,A
1000,30.65,18.93,A
1000,30.65,21.82,A
1000,30.65,22.25,A
1000,30.65,22.35,A
1000,30.65,23.81,A
1000,30.65,24.09,A
1000,30.65,24.65,A
1000,30.65,26.03,A
1000,30.65,26.49,A
1000,30.67,12.82,A
1000,30.71,2.72,A
1000,30.71,3.08,A
1000,30.71,6.78,A
1000,30.71,7.03,A
1000,30.71,8.18,A
1000,30.71,9.32,A
1000,30.71,24,A
1000,30.71,25.26,A
1000,30.71,28.26,A
1000,30.73,1.93,A
1000,30.73,3,A
1000,30.73,3.12,A
1000,30.73,3.35,A
1000,30.73,4.84,A
1000,30.73,5.51,A
1000,30.73,7.98,A
1000,30.73,8.43,A
1000,30.73,8.8,A
1000,30.73,9.6,A
1000,30.73,12.18,A
1000,30.73,14.08,A
1000,30.73,17.55,A
1000,30.73,18.75,A
1000,30.73,18.83,A
1000,30.73,20.6,A
1000,30.73,27.85,A
1000,30.73,29.43,A
1000,30.73,33.6,A
1000,30.74,12.13,A
1000,30.74,24.56,A
1000,30.74,25.48,A
1000,30.75,0.64,A
1000,30.75,0.7,A
1000,30.75,2.16,A
1000,30.75,2.18,A
1000,30.75,3.74,A
1000,30.75,4.09,A
1000,30.75,5.23,A
1000,30.75,5.32,A
1000,30.75,6.31,A
1000,30.75,7.07,A
1000,30.75,7.15,A
1000,30.75,7.2,A
1000,30.75,7.28,A
1000,30.75,7.35,A
1000,30.75,8.53,A
1000,30.75,9.6,A
1000,30.75,9.92,A
1000,30.75,12,A
1000,30.75,13.88,A
1000,30.75,14.27,A
1000,30.75,14.7,A
1000,30.75,15.01,A
1000,30.75,15.34,A
1000,30.75,15.92,A
1000,30.75,16.08,A
1000,30.75,16.24,A
1000,30.75,16.69,A
1000,30.75,16.84,A
1000,30.75,20.2,A
1000,30.75,20.44,A
1000,30.75,21.3,A
1000,30.75,21.4,A
1000,30.75,23.63,A
1000,30.75,25.68,A
1000,30.75,30.14,A
1000,30.75,31.14,A
1000,30.75,31.57,A
1000,30.75,31.98,A
1000,30.77,2.41,A
1000,30.77,6.3,A
1000,30.77,7.84,A
1000,30.77,8.82,A
1000,30.77,9.48,A
1000,30.77,10.18,A
1000,30.8,3.88,A
1000,30.8,4.31,A
1000,30.8,4.51,A
1000,30.8,6.23,A
1000,30.8,10.3,A
1000,30.8,10.98,A
1000,30.8,13.99,A
1000,30.8,14.27,A
1000,30.8,15.49,A
1000,30.8,17.29,A
1000,30.8,17.86,A
1000,30.8,20.27,A
1000,30.8,20.44,A
1000,30.83,7.38,A
1000,30.83,8.35,A
1000,30.83,16.59,A
1000,30.83,21.04,A
1000,30.84,7.62,A
1000,30.84,10.48,A
1000,30.85,6.47,A
1000,30.85,13,A
1000,30.85,15.19,A
1000,30.86,21.05,C
1000,30.87,0.7,A
1000,30.87,3.44,A
1000,30.87,7.18,A
1000,30.87,9.4,A
1000,30.87,12.47,A
1000,30.87,19.73,A
1000,30.87,34.2,A
1000,30.88,1.01,A
1000,30.88,1.32,A
1000,30.88,5.52,A
1000,30.88,5.82,A
1000,30.88,7.11,A
1000,30.88,8.08,A
1000,30.88,8.66,A
1000,30.88,9.14,A
1000,30.88,10.23,A
1000,30.88,10.24,A
1000,30.88,10.82,A
1000,30.88,11.04,A
1000,30.88,11.32,A
1000,30.88,11.34,A
1000,30.88,11.88,A
1000,30.88,11.89,A
1000,30.88,12.07,A
1000,30.88,12.72,A
1000,30.88,13.87,A
1000,30.88,14.36,A
1000,30.88,14.69,A
1000,30.88,15.77,A
1000,30.88,17.26,A
1000,30.88,17.34,A
1000,30.88,17.8,A
1000,30.88,18.41,A
1000,30.88,18.72,A
1000,30.88,19.97,A
1000,30.88,23.07,A
1000,30.88,24.9,A
1000,30.88,27.27,A
1000,30.88,27.84,A
1000,30.88,27.93,A
1000,30.88,28.28,A
1000,30.88,28.75,A
1000,30.88,29.14,A
1000,30.88,29.19,A
1000,30.88,29.42,A
1000,30.89,3.06,A
1000,30.89,9.41,A
1000,30.89,9.84,A
1000,30.89,13.48,A
1000,30.89,14.03,A
1000,30.89,14.13,A
1000,30.89,17.37,A
1000,30.89,17.46,A
1000,30.89,22.02,A
1000,30.89,28.39,A
1000,30.91,0.67,A
1000,30.91,0.71,A
1000,30.91,4.2,A
1000,30.91,8.5,A
1000,30.91,8.9,A
1000,30.91,10.32,A
1000,30.91,10.88,A
1000,30.91,11.66,A
1000,30.91,11.79,A
1000,30.91,11.95,A
1000,30.91,12.65,A
1000,30.91,14.64,A
1000,30.91,16.1,A
1000,30.91,16.37,A
1000,30.91,18.55,A
1000,30.91,20.67,A
1000,30.91,20.81,A
1000,30.91,22.17,A
1000,30.91,24.26,A
1000,30.91,24.32,A
1000,30.91,32.1,A
1000,30.91,33.31,A
1000,30.94,0.65,A
1000,30.94,1.1,A
1000,30.94,11.9,A
1000,30.94,15.4,A
1000,30.94,16.99,A
1000,30.94,18.16,A
1000,30.94,21.93,A
1000,30.98,1.1,A
1000,30.98,1.77,A
1000,30.98,1.94,A
1000,30.98,1.95,A
1000,30.98,2.19,A
1000,30.98,3.34,A
1000,30.98,3.43,A
1000,30.98,4.09,A
1000,30.98,4.34,A
1000,30.98,5.18,A
1000,30.98,5.27,A
1000,30.98,5.66,A
1000,30.98,5.72,A
1000,30.98,5.86,A
1000,30.98,7.41,A
1000,30.98,7.7,A
1000,30.98,7.83,A
1000,30.98,7.84,A
1000,30.98,7.93,A
1000,30.98,8.19,A
1000,30.98,8.64,A
1000,30.98,8.92,A
1000,30.98,9.27,A
1000,30.98,9.44,A
1000,30.98,9.98,A
1000,30.98,10.01,A
1000,30.98,10.63,A
1000,30.98,10.88,A
1000,30.98,10.96,A
1000,30.98,11.33,A
1000,30.98,11.7,A
1000,30.98,12.07,A
1000,30.98,13.2,A
1000,30.98,13.58,A
1000,30.98,13.96,A
1000,30.98,15.09,A
1000,30.98,15.7,A
1000,30.98,15.99,A
1000,30.98,16.05,A
1000,30.98,16.74,A
1000,30.98,16.82,A
1000,30.98,17.04,A
1000,30.98,18.39,A
1000,30.98,19.01,A
1000,30.98,19.47,A
1000,30.98,19.52,A
1000,30.98,19.59,A
1000,30.98,19.7,A
1000,30.98,19.98,A
1000,30.98,20.29,A
1000,30.98,20.64,A
1000,30.98,20.65,A
1000,30.98,21.53,A
1000,30.98,21.83,A
1000,30.98,22.24,A
1000,30.98,22.44,A
1000,30.98,22.49,A
1000,30.98,23.04,A
1000,30.98,23.14,A
1000,30.98,24.53,A
1000,30.98,25.04,A
1000,30.98,26.49,A
1000,30.98,27.19,A
1000,30.98,27.71,A
1000,30.98,30.4,A
1000,30.98,30.65,A
1000,30.98,32.32,A
1000,30.98,32.72,A
1000,30.98,32.92,A
1000,30.99,3.61,A
1000,30.99,3.75,A
1000,30.99,6.1,A
1000,30.99,7.58,A
1000,30.99,9.99,A
1000,30.99,11.6,A
1000,30.99,12,A
1000,30.99,12.15,A
1000,30.99,12.96,A
1000,30.99,13.44,A
1000,30.99,14.7,A
1000,30.99,15.77,A
1000,30.99,16.04,A
1000,30.99,16.57,A
1000,30.99,17.16,A
1000,30.99,18.89,A
1000,30.99,18.93,A
1000,30.99,19.49,A
1000,30.99,20.09,A
1000,30.99,20.15,A
1000,30.99,20.23,A
1000,30.99,20.43,A
1000,30.99,20.58,A
1000,30.99,21.38,A
1000,30.99,22.39,A
1000,30.99,22.51,A
1000,30.99,22.88,A
1000,30.99,24.43,A
1000,30.99,27.17,A
1000,30.99,28.62,A
1000,30.99,29.12,A
1000,30.99,29.93,A
1000,31,6.3,A
1000,31,11.21,A
1000,31,13.71,A
1000,31,15.09,A
1000,31,16.53,A
1000,31,17.14,A
1000,31,18.16,A
1000,31,24.57,A
1000,31,24.61,A
1000,31,34.55,A
1000,31.01,4.04,A
1000,31.01,5.44,A
1000,31.01,5.93,A
1000,31.01,10.22,A
1000,31.01,11.89,A
1000,31.01,12.96,A
1000,31.01,17.05,A
1000,31.01,26.85,A
1000,31.04,0.94,A
1000,31.04,1,A
1000,31.04,1.03,A
1000,31.04,1.46,A
1000,31.04,1.67,A
1000,31.04,1.88,A
1000,31.04,2.13,A
1000,31.04,2.59,A
1000,31.04,2.73,A
1000,31.04,3.25,A
1000,31.04,3.52,A
1000,31.04,4.54,A
1000,31.04,4.65,A
1000,31.04,4.8,A
1000,31.04,5.18,A
1000,31.04,5.73,A
1000,31.04,5.93,A
1000,31.04,5.99,A
1000,31.04,6.17,A
1000,31.04,6.78,A
1000,31.04,6.8,A
1000,31.04,6.88,A
1000,31.04,7.23,A
1000,31.04,7.59,A
1000,31.04,7.79,A
1000,31.04,7.97,A
1000,31.04,8.14,A
1000,31.04,8.19,A
1000,31.04,8.72,A
1000,31.04,8.91,A
1000,31.04,8.99,A
1000,31.04,9.05,A
1000,31.04,9.16,A
1000,31.04,9.2,A
1000,31.04,10.73,A
1000,31.04,11.26,A
1000,31.04,11.33,A
1000,31.04,11.42,A
1000,31.04,11.63,A
1000,31.04,11.78,A
1000,31.04,11.83,A
1000,31.04,11.97,A
1000,31.04,12.19,A
1000,31.04,12.29,A
1000,31.04,12.5,A
1000,31.04,13,A
1000,31.04,13.2,A
1000,31.04,13.31,A
1000,31.04,13.64,A
1000,31.04,13.67,A
1000,31.04,13.71,A
1000,31.04,14,A
1000,31.04,14.01,A
1000,31.04,14.13,A
1000,31.04,14.29,A
1000,31.04,16.12,A
1000,31.04,16.32,A
1000,31.04,16.74,A
1000,31.04,16.83,A
1000,31.04,16.96,A
1000,31.04,17,A
1000,31.04,17.2,A
1000,31.04,17.52,A
1000,31.04,18.01,A
1000,31.04,18.39,A
1000,31.04,18.79,A
1000,31.04,19.16,A
1000,31.04,19.21,A
1000,31.04,20.11,A
1000,31.04,20.12,A
1000,31.04,20.94,A
1000,31.04,21.05,A
1000,31.04,21.17,A
1000,31.04,21.18,A
1000,31.04,21.59,A
1000,31.04,21.76,A
1000,31.04,21.93,A
1000,31.04,22.1,A
1000,31.04,22.3,A
1000,31.04,22.51,A
1000,31.04,22.92,A
1000,31.04,23.01,A
1000,31.04,23.29,A
1000,31.04,23.41,A
1000,31.04,24.69,A
1000,31.04,24.86,A
1000,31.04,24.9,A
1000,31.04,25.22,A
1000,31.04,25.77,A
1000,31.04,26.72,A
1000,31.04,27,A
1000,31.04,27.5,A
1000,31.04,28.04,A
1000,31.04,28.57,A
1000,31.04,29.21,A
1000,31.04,29.46,A
1000,31.04,29.76,A
1000,31.04,30.58,A
1000,31.04,31.62,A
1000,31.04,34.37,A
1000,31.04,34.4,A
1000,31.04,37.28,A
1000,31.04,38.61,A
1000,31.05,0.35,A
1000,31.05,0.74,A
1000,31.05,12.9,A
1000,31.06,0,A
1000,31.06,0.52,A
1000,31.06,0.96,A
1000,31.06,0.97,A
1000,31.06,1.63,A
1000,31.06,3.31,A
1000,31.06,3.84,A
1000,31.06,4.68,A
1000,31.06,4.8,A
1000,31.06,6.65,A
1000,31.06,8.61,A
1000,31.06,11.04,A
1000,31.06,11.1,A
1000,31.06,13.36,A
1000,31.06,13.68,A
1000,31.06,15.37,A
1000,31.06,16.17,A
1000,31.06,22.61,A
1000,31.06,22.64,A
1000,31.06,23.81,A
1000,31.06,25.82,A
1000,31.06,27.69,A
1000,31.06,33.77,A
1000,31.06,39.26,A
1000,31.09,4.98,A
1000,31.09,9.08,A
1000,31.09,15.35,A
1000,31.09,15.84,A
1000,31.09,21.3,A
1000,31.09,21.38,A
1000,31.09,25.11,A
1000,31.09,31.02,A
1000,31.11,1.54,A
1000,31.11,4.16,A
1000,31.11,5.23,A
1000,31.11,5.5,A
1000,31.11,6.24,A
1000,31.11,7.52,A
1000,31.11,7.56,A
1000,31.11,7.69,A
1000,31.11,7.84,A
1000,31.11,7.92,A
1000,31.11,9.21,A
1000,31.11,9.36,A
1000,31.11,9.58,A
1000,31.11,9.71,A
1000,31.11,10.22,A
1000,31.11,10.51,A
1000,31.11,10.82,A
1000,31.11,10.92,A
1000,31.11,12.11,A
1000,31.11,12.47,A
1000,31.11,12.64,A
1000,31.11,13.24,A
1000,31.11,14.25,A
1000,31.11,14.83,A
1000,31.11,14.86,A
1000,31.11,14.9,A
1000,31.11,15.06,A
1000,31.11,15.98,A
1000,31.11,16.21,A
1000,31.11,16.26,A
1000,31.11,17.09,A
1000,31.11,18.47,A
1000,31.11,18.99,A
1000,31.11,21.26,A
1000,31.11,21.4,A
1000,31.11,21.43,A
1000,31.11,21.79,A
1000,31.11,21.92,A
1000,31.11,22.61,A
1000,31.11,22.76,A
1000,31.11,22.99,A
1000,31.11,23.28,A
1000,31.11,24.95,A
1000,31.11,26.47,A
1000,31.11,26.6,A
1000,31.11,29.98,A
1000,31.12,0.6,A
1000,31.12,6.67,A
1000,31.12,12.21,A
1000,31.12,15.47,A
1000,31.12,15.81,A
1000,31.12,18.84,A
1000,31.12,23.44,A
1000,31.14,1.04,A
1000,31.14,11.3,A
1000,31.14,12.26,A
1000,31.14,13.31,A
1000,31.14,16.07,A
1000,31.14,17.4,A
1000,31.14,33.37,A
1000,31.14,33.86,A
1000,31.15,1.12,A
1000,31.15,1.4,A
1000,31.15,1.82,A
1000,31.15,5.37,A
1000,31.15,7.37,A
1000,31.15,8.88,A
1000,31.15,10.18,A
1000,31.15,12.6,A
1000,31.15,13.27,A
1000,31.15,14.09,A
1000,31.15,14.21,A
1000,31.15,15.25,A
1000,31.15,15.9,A
1000,31.15,16.66,A
1000,31.15,18.44,A
1000,31.15,21.12,A
1000,31.15,25.57,A
1000,31.17,0.47,A
1000,31.17,0.7,A
1000,31.17,0.75,A
1000,31.17,4.59,A
1000,31.17,5.59,A
1000,31.17,10.8,A
1000,31.17,14.48,A
1000,31.17,15.71,A
1000,31.17,15.99,A
1000,31.17,18.73,A
1000,31.17,20.69,A
1000,31.17,22.54,A
1000,31.17,26.22,A
1000,31.18,17.93,A
1000,31.18,20.55,A
1000,31.19,1.8,A
1000,31.19,16.9,A
1000,31.2,0.76,A
1000,31.2,2.82,A
1000,31.2,9.77,A
1000,31.2,10.92,A
1000,31.2,14.31,A
1000,31.2,14.74,A
1000,31.2,15.58,A
1000,31.2,15.89,A
1000,31.2,15.94,A
1000,31.2,21.8,A
1000,31.2,29.01,A
1000,31.2,29.48,A
1000,31.22,0.43,A
1000,31.22,21.52,A
1000,31.27,3.51,A
1000,31.27,3.57,A
1000,31.27,9.36,A
1000,31.27,9.49,A
1000,31.27,9.84,A
1000,31.27,10.23,A
1000,31.27,11.38,A
1000,31.27,12.33,A
1000,31.27,12.36,A
1000,31.27,13.08,A
1000,31.27,13.58,A
1000,31.27,14.96,A
1000,31.27,15.6,A
1000,31.27,15.92,A
1000,31.27,17.56,A
1000,31.27,17.91,A
1000,31.27,18.19,A
1000,31.27,18.24,A
1000,31.27,18.33,A
1000,31.27,18.76,A
1000,31.27,19.01,A
1000,31.27,19.36,A
1000,31.27,23.98,A
1000,31.27,26.97,A
1000,31.27,30.88,A
1000,31.27,32.22,A
1000,31.27,34.36,A
1000,31.29,0.76,A
1000,31.29,1.6,A
1000,31.29,2.09,A
1000,31.29,2.18,A
1000,31.29,4.38,A
1000,31.29,4.66,A
1000,31.29,8.91,A
1000,31.29,9.43,A
1000,31.29,11.78,A
1000,31.29,12.2,A
1000,31.29,12.32,A
1000,31.29,13.25,A
1000,31.29,14.66,A
1000,31.29,16.37,A
1000,31.29,17.15,A
1000,31.29,18.06,A
1000,31.29,18.09,A
1000,31.29,18.21,A
1000,31.29,18.34,A
1000,31.29,19,A
1000,31.29,21.05,A
1000,31.29,22.02,A
1000,31.29,22.05,A
1000,31.29,22.37,A
1000,31.29,23.8,A
1000,31.29,26.54,A
1000,31.29,33.84,A
1000,31.3,0.71,A
1000,31.3,2.5,A
1000,31.3,3.91,A
1000,31.3,4.71,A
1000,31.3,5.47,A
1000,31.3,7.5,A
1000,31.3,7.93,A
1000,31.3,8.02,A
1000,31.3,9.08,A
1000,31.3,9.13,A
1000,31.3,10.43,A
1000,31.3,10.56,A
1000,31.3,10.67,A
1000,31.3,10.82,A
1000,31.3,10.85,A
1000,31.3,11.96,A
1000,31.3,12.64,A
1000,31.3,12.75,A
1000,31.3,12.96,A
1000,31.3,14.94,A
1000,31.3,16.15,A
1000,31.3,17.01,A
1000,31.3,17.07,A
1000,31.3,18.88,A
1000,31.3,18.97,A
1000,31.3,19.82,A
1000,31.3,26.49,A
1000,31.3,27.65,A
1000,31.32,0.79,A
1000,31.32,1.2,A
1000,31.32,2,A
1000,31.32,4.96,A
1000,31.32,6.22,A
1000,31.32,6.62,A
1000,31.32,6.74,A
1000,31.32,6.77,A
1000,31.32,11.32,A
1000,31.32,14.1,A
1000,31.32,14.3,A
1000,31.32,17.97,A
1000,31.32,20.82,A
1000,31.32,21.33,A
1000,31.32,23.55,A
1000,31.32,24.61,A
1000,31.32,25.38,A
1000,31.32,27.96,A
1000,31.33,0.57,A
1000,31.33,0.86,A
1000,31.33,1.07,A
1000,31.33,1.12,A
1000,31.33,1.17,A
1000,31.33,1.23,A
1000,31.33,1.28,A
1000,31.33,1.76,A
1000,31.33,2.1,A
1000,31.33,2.69,A
1000,31.33,3.06,A
1000,31.33,3.27,A
1000,31.33,3.39,A
1000,31.33,3.42,A
1000,31.33,4.29,A
1000,31.33,4.66,A
1000,31.33,4.86,A
1000,31.33,5.35,A
1000,31.33,5.49,A
1000,31.33,5.5,A
1000,31.33,6.2,A
1000,31.33,6.66,A
1000,31.33,6.77,A
1000,31.33,6.99,A
1000,31.33,7.35,A
1000,31.33,7.81,A
1000,31.33,7.98,A
1000,31.33,8.4,A
1000,31.33,8.42,A
1000,31.33,8.94,A
1000,31.33,9.46,A
1000,31.33,9.47,A
1000,31.33,9.53,A
1000,31.33,9.9,A
1000,31.33,9.91,A
1000,31.33,10.23,A
1000,31.33,10.25,A
1000,31.33,10.27,A
1000,31.33,10.5,A
1000,31.33,10.53,A
1000,31.33,10.62,A
1000,31.33,10.67,A
1000,31.33,10.79,A
1000,31.33,11.04,A
1000,31.33,11.5,A
1000,31.33,11.97,A
1000,31.33,12.54,A
1000,31.33,12.83,A
1000,31.33,12.84,A
1000,31.33,13.53,A
1000,31.33,13.54,A
1000,31.33,13.64,A
1000,31.33,14.17,A
1000,31.33,14.24,A
1000,31.33,14.44,A
1000,31.33,15,A
1000,31.33,15.22,A
1000,31.33,15.49,A
1000,31.33,16.12,A
1000,31.33,16.5,A
1000,31.33,17.07,A
1000,31.33,17.2,A
1000,31.33,17.48,A
1000,31.33,17.53,A
1000,31.33,17.8,A
1000,31.33,17.87,A
1000,31.33,17.97,A
1000,31.33,18.5,A
1000,31.33,18.83,A
1000,31.33,19.5,A
1000,31.33,19.62,A
1000,31.33,20.3,A
1000,31.33,20.33,A
1000,31.33,20.84,A
1000,31.33,20.92,A
1000,31.33,21.23,A
1000,31.33,21.36,A
1000,31.33,21.39,A
1000,31.33,21.43,A
1000,31.33,21.73,A
1000,31.33,21.9,A
1000,31.33,23.76,A
1000,31.33,25.12,A
1000,31.33,25.48,A
1000,31.33,25.68,A
1000,31.33,26.19,A
1000,31.33,27.47,A
1000,31.33,28.61,A
1000,31.33,28.69,A
1000,31.33,28.81,A
1000,31.33,28.83,A
1000,31.33,29.18,A
1000,31.33,30.12,A
1000,31.33,31.71,A
1000,31.33,34,A
1000,31.34,1.67,A
1000,31.34,1.7,A
1000,31.34,2.33,A
1000,31.34,3.15,A
1000,31.34,5.95,A
1000,31.34,6.96,A
1000,31.34,7.06,A
1000,31.34,7.3,A
1000,31.34,7.43,A
1000,31.34,7.52,A
1000,31.34,7.74,A
1000,31.34,7.87,A
1000,31.34,8.03,A
1000,31.34,8.25,A
1000,31.34,9.04,A
1000,31.34,9.21,A
1000,31.34,9.26,A
1000,31.34,9.39,A
1000,31.34,9.4,A
1000,31.34,9.55,A
1000,31.34,10.3,A
1000,31.34,10.93,A
1000,31.34,11.47,A
1000,31.34,12.08,A
1000,31.34,12.27,A
1000,31.34,12.67,A
1000,31.34,12.81,A
1000,31.34,12.99,A
1000,31.34,13.12,A
1000,31.34,13.25,A
1000,31.34,13.64,A
1000,31.34,14.1,A
1000,31.34,14.39,A
1000,31.34,16.28,A
1000,31.34,16.31,A
1000,31.34,16.44,A
1000,31.34,16.48,A
1000,31.34,16.65,A
1000,31.34,16.84,A
1000,31.34,18.13,A
1000,31.34,19.02,A
1000,31.34,19.87,A
1000,31.34,20.51,A
1000,31.34,20.58,A
1000,31.34,21.53,A
1000,31.34,22.36,A
1000,31.34,22.56,A
1000,31.34,24.67,A
1000,31.34,25.35,A
1000,31.34,26.88,A
1000,31.34,27.58,A
1000,31.34,29.65,A
1000,31.34,30.73,A
1000,31.34,31.52,A
1000,31.38,0.44,A
1000,31.38,8.21,A
1000,31.38,8.6,A
1000,31.38,9.24,A
1000,31.38,11.55,A
1000,31.38,12.13,A
1000,31.38,13.2,A
1000,31.38,13.65,A
1000,31.38,14.11,A
1000,31.38,16.23,A
1000,31.38,19.12,A
1000,31.38,19.75,A
1000,31.38,19.83,A
1000,31.38,21.08,A
1000,31.42,0,B
1000,31.42,7.87,B
1000,31.42,9.3,B
